text,rating,clean_text,sentiment
bagus. semoga paylater saya acc,5,bagus semoga paylater saya acc,Positif
ITS the best,5,its the best,Positif
"mohon diperketat toko atau penjual wajib memberi foto sesuai barang yang dikirim,jgn cuman contoh yang dipajang dan yang dikirim bedah barang dan merk",5,mohon diperketat toko atau penjual wajib memberi foto sesuai barang yang dikirimjgn cuman contoh yang dipajang dan yang dikirim bedah barang dan merk,Positif
"Paketan di undur teros, aplikasi gak bener.",1,paketan di undur teros aplikasi gak bener,Negatif
mantap,5,mantap,Positif
"bgs tp mls bgt skrng tlsannya emng paket sdng menuju perjalanan, tp aku tunggu 3 harian ga sampai'",2,bgs tp mls bgt skrng tlsannya emng paket sdng menuju perjalanan tp aku tunggu harian ga sampai,Negatif
"harga berubah ubah, tidak jelas",1,harga berubah ubah tidak jelas,Negatif
sangat senang belanja di shopee karena cepat dan kualitas seller serta barangnya kumplit bagus harga bersaing...terima kasih shopee,5,sangat senang belanja di shopee karena cepat dan kualitas seller serta barangnya kumplit bagus harga bersaingterima kasih shopee,Positif
Nyaman pokoknya belanja d Shopee tuh cum. Pgn ky dulu lg bisa pilih jasa pengrimnya,5,nyaman pokoknya belanja d shopee tuh cum pgn ky dulu lg bisa pilih jasa pengrimnya,Positif
bagus matep,5,bagus matep,Positif
"Apk nya bagus, barang yang dijual toko toko nya juga sesuai. Tapi sayang banget tiap buka apk nya malah langsung ke shop live, itu ganggu banget. Bikin gk mood",1,apk nya bagus barang yang dijual toko toko nya juga sesuai tapi sayang banget tiap buka apk nya malah langsung ke shop live itu ganggu banget bikin gk mood,Negatif
"Mudah di akses, lengkap, pengiriman cepat. Aplikasi komplit dah pokoknya..",5,mudah di akses lengkap pengiriman cepat aplikasi komplit dah pokoknya,Positif
sedikit lemot,4,sedikit lemot,Positif
Ok sekali,5,ok sekali,Positif
"Mantap shopee, yg jelas kami berani cod,harapan ny,dngn barang yg kami beli lebih murah dari toko daerah/kota kami sa.t ini,buat jasa kirim nya yang perlu di perhatikan KK.karna bagi saya jasa kirim anteraja in yang bikin kesel,lama di perjalanannya,klo bisa yg kaya gitu harus di tegas kn lagi kk Mantap,Uda mau lebaran sapa ada THR 😂",5,mantap shopee yg jelas kami berani codharapan nydngn barang yg kami beli lebih murah dari toko daerahkota kami sat inibuat jasa kirim nya yang perlu di perhatikan kkkarna bagi saya jasa kirim anteraja in yang bikin kesellama di perjalanannyaklo bisa yg kaya gitu harus di tegas kn lagi kk mantapuda mau lebaran sapa ada thr,Positif
KLO beli di sini mah barang ilang duit pun ilang dah jangan mau download shopee,1,klo beli di sini mah barang ilang duit pun ilang dah jangan mau download shopee,Negatif
baik,5,baik,Positif
bagus,5,bagus,Positif
Sangat membantu,5,sangat membantu,Positif
Sangat puas belanja di shopee,5,sangat puas belanja di shopee,Positif
nice,5,nice,Positif
Oke,5,oke,Positif
shopeefoodnya ga ada aneh bgt,2,shopeefoodnya ga ada aneh bgt,Negatif
gooddddd,5,gooddddd,Positif
"Banyak Bug, error dan Jasa kirim SPX ga benar..",2,banyak bug error dan jasa kirim spx ga benar,Negatif
"Katanya pengembalian dana mudah, dijamin 100%. Nyatanya pengajuan tanggal 10, tanggal 12 baru direspon, tanggal 15 pengajuan ditolak. Kecewa sih, padahal untuk pelayanan yang lainnya bagus.",4,katanya pengembalian dana mudah dijamin nyatanya pengajuan tanggal tanggal baru direspon tanggal pengajuan ditolak kecewa sih padahal untuk pelayanan yang lainnya bagus,Positif
Sangat membatu banget,5,sangat membatu banget,Positif
Goodh,5,goodh,Positif
Memberatkan penjual. Bukti penjual sudah valid masih dimenangkan pembeli,1,memberatkan penjual bukti penjual sudah valid masih dimenangkan pembeli,Negatif
👍,5,,Positif
barang selalu sesuai dengan keinginan pengiriman cepat,5,barang selalu sesuai dengan keinginan pengiriman cepat,Positif
Berbelanja di aplikasi shopee begitu mudah dan menyenangkan.,5,berbelanja di aplikasi shopee begitu mudah dan menyenangkan,Positif
sangat bagus,5,sangat bagus,Positif
goods 👌,5,goods,Positif
aku suka,5,aku suka,Positif
tolong tambah informasi kurir yg mengantar pesanan agar pembeli juga bisa mengubungi kurirnya,4,tolong tambah informasi kurir yg mengantar pesanan agar pembeli juga bisa mengubungi kurirnya,Positif
sangat baik,5,sangat baik,Positif
belanja apapun hanya di shopee,5,belanja apapun hanya di shopee,Positif
Bagus banget,5,bagus banget,Positif
Shopee food gabisa dapetin driver dibatalkan terus,1,shopee food gabisa dapetin driver dibatalkan terus,Negatif
alhamdulilah,5,alhamdulilah,Positif
bagussssssssssssssss,5,bagussssssssssssssss,Positif
Sangat cepat,5,sangat cepat,Positif
Bagus,5,bagus,Positif
mantapp shopee,5,mantapp shopee,Positif
Proses ribet dipersulit sama customer service cuma mau ambil paket dan menanyakan letak paket dimana malah di kasih pelanggaran,1,proses ribet dipersulit sama customer service cuma mau ambil paket dan menanyakan letak paket dimana malah di kasih pelanggaran,Negatif
demi kemajuan shopee klu toko2 yg kurang amanah sebaik ny di blok aja dari shopee,5,demi kemajuan shopee klu toko yg kurang amanah sebaik ny di blok aja dari shopee,Positif
siipp,3,siipp,Netral
"cpek belanja di sini, paket aku di retur sama kurir, terus aku hubungi cs, tpi sama aj cs nya gk jalan. cpek belanjanya bermasalah Mulu:((",1,cpek belanja di sini paket aku di retur sama kurir terus aku hubungi cs tpi sama aj cs nya gk jalan cpek belanjanya bermasalah mulu,Negatif
Platform favorit,5,platform favorit,Positif
ok,4,ok,Positif
Terimakasih shopee karena sudah membantu,5,terimakasih shopee karena sudah membantu,Positif
bisa pilih barang yang di inginkan,5,bisa pilih barang yang di inginkan,Positif
"jadi kurir jangan TOLOL,udah tau COD ngak mau NELPON, emangnya kerjaan kami nunggu paket nunggu cod...ada ada saja manusia,otewe RETUR saja",1,jadi kurir jangan tololudah tau cod ngak mau nelpon emangnya kerjaan kami nunggu paket nunggu codada ada saja manusiaotewe retur saja,Negatif
Sangat membantu,5,sangat membantu,Positif
Aplikasi shoope nih bner bner gada perubahan dari dulu tetep aja loadingnya lamaaaaaa masa iyah salah hpnya padahal di aplikasi lain ga kenapa napa loo ga kaya di shoopee nangis☹️☹️,1,aplikasi shoope nih bner bner gada perubahan dari dulu tetep aja loadingnya lamaaaaaa masa iyah salah hpnya padahal di aplikasi lain ga kenapa napa loo ga kaya di shoopee nangis,Negatif
Good Jobs...👌👍🫰🙏,5,good jobs,Positif
Sering saya order barang di kirim barang rusak truss Ini jual barang bagus murah apa jual barang mati ini??,1,sering saya order barang di kirim barang rusak truss ini jual barang bagus murah apa jual barang mati ini,Negatif
banyakinn barang gratis ongkir yaa-!! hehe,5,banyakinn barang gratis ongkir yaa hehe,Positif
MANTAP aplikasinya,5,mantap aplikasinya,Positif
Menyebal kan ketekan dikit langsung masuk shopee apa lagi di dalam shopee ngeleg gak jelas,1,menyebal kan ketekan dikit langsung masuk shopee apa lagi di dalam shopee ngeleg gak jelas,Negatif
keren,5,keren,Positif
Sangat sangat Berguna dan Best seller,4,sangat sangat berguna dan best seller,Positif
"Udah lama sy download shopee tp g sering belanja disini Krn lebih murah e-commerce lainnya, baru baru ini sy sering belanja disini dan betapa anehnya setiap sy belanja selalu d batalkan Krn ada aktifitas TDK wajar... Emang sy mencuri dr shopee, terakhir beli hp d batalkan juga Krn ada aktifitas TDK wajar..... Yg TDK wajar itu dr shopee nya, kalo memang buyer TDK boleh pake voucher kenapa saya d kasih voucher dan TDK bisa saya gunakan buat belanj apapun",1,udah lama sy download shopee tp g sering belanja disini krn lebih murah ecommerce lainnya baru baru ini sy sering belanja disini dan betapa anehnya setiap sy belanja selalu d batalkan krn ada aktifitas tdk wajar emang sy mencuri dr shopee terakhir beli hp d batalkan juga krn ada aktifitas tdk wajar yg tdk wajar itu dr shopee nya kalo memang buyer tdk boleh pake voucher kenapa saya d kasih voucher dan tdk bisa saya gunakan buat belanj apapun,Negatif
ngeleg,4,ngeleg,Positif
not bad,5,not bad,Positif
Teman disaat galau,5,teman disaat galau,Positif
Cakepp,5,cakepp,Positif
Terbaik,4,terbaik,Positif
baik,5,baik,Positif
Aplikasi awal perusak sistem semua ojol dengan ongkir murah!!! Tuhan tidak tidur dan maha adil!!!,1,aplikasi awal perusak sistem semua ojol dengan ongkir murah tuhan tidak tidur dan maha adil,Negatif
"bisa blanja,tanpa harus kemana""😁",5,bisa blanjatanpa harus kemana,Positif
semenjak kenal shope jarang bngt k pasar blnja online aja praktis GK panas GK macet pokonya mantul shope,5,semenjak kenal shope jarang bngt k pasar blnja online aja praktis gk panas gk macet pokonya mantul shope,Positif
senang belanja di shopee soalnya gak abal2 dan tokonya amanah,5,senang belanja di shopee soalnya gak abal dan tokonya amanah,Positif
"Memberi kemudahan, kepastian ,perlindungan pada konsumen... 👍♥♥♥",5,memberi kemudahan kepastian perlindungan pada konsumen,Positif
baik bagus,5,baik bagus,Positif
Sekarang gratis ongkir nya harus bayar yaa!,1,sekarang gratis ongkir nya harus bayar yaa,Negatif
"Baru kali ini pada bulan RAMADHAN 2025 pengiriman sangat lama banget,bahkan klaim voucher habis barang belum sampai juga. Tidak PROFESIONAL banget pelayanannya khususnya pada pihak ekspedisinya. .👎",1,baru kali ini pada bulan ramadhan pengiriman sangat lama bangetbahkan klaim voucher habis barang belum sampai juga tidak profesional banget pelayanannya khususnya pada pihak ekspedisinya,Negatif
Soo menurut ku shopee itu buagus bgt karna bisa shoping dan kurasin duit mama kuu 🤑 dan karna itu aku dari pertama beli hp downlod,5,soo menurut ku shopee itu buagus bgt karna bisa shoping dan kurasin duit mama kuu dan karna itu aku dari pertama beli hp downlod,Positif
shopee is the bes,5,shopee is the bes,Positif
terbaik,5,terbaik,Positif
"shopee sangat membantu saya , terimakasih shopee",5,shopee sangat membantu saya terimakasih shopee,Positif
Sangat bagus,5,sangat bagus,Positif
belanja murah shopee solusinya,5,belanja murah shopee solusinya,Positif
Lebih mudah berbelanja untuk yang magerr🤩🤩🤩🤩,5,lebih mudah berbelanja untuk yang magerr,Positif
Bagus bngt shopee sukses,5,bagus bngt shopee sukses,Positif
Mantap,5,mantap,Positif
puas selalu belanja di Shopee hanya kemarin ada kesalahan dengan pihak exfedisi J&T kurirnya kurang konfirmasi kan kalau barang sudah mau dikirim ke pembeli mohon bilang sama kurir lain kali jangan asal asalan batalkan kasihan nunggu di muka rumah alamat jelas no wa ada npa tidak di hubungi Terima kasih shopee,5,puas selalu belanja di shopee hanya kemarin ada kesalahan dengan pihak exfedisi jt kurirnya kurang konfirmasi kan kalau barang sudah mau dikirim ke pembeli mohon bilang sama kurir lain kali jangan asal asalan batalkan kasihan nunggu di muka rumah alamat jelas no wa ada npa tidak di hubungi terima kasih shopee,Positif
shopy bagus dan toko selalu amanah,5,shopy bagus dan toko selalu amanah,Positif
Barang bagus sesuai pesanan mksh shopee,5,barang bagus sesuai pesanan mksh shopee,Positif
Mantap aja nih apk 🤩🤩🤩🤩🤩,5,mantap aja nih apk,Positif
pokoke oke,5,pokoke oke,Positif
Nyesel belanja di shope pengiriman dari spx nya lama sering gak tepat waktu,1,nyesel belanja di shope pengiriman dari spx nya lama sering gak tepat waktu,Negatif
"Kecewa sama kurirnya gak mau antar sampai rumah, udah gitu pas di lacak barangnya malah dikembalikan ke penjual",1,kecewa sama kurirnya gak mau antar sampai rumah udah gitu pas di lacak barangnya malah dikembalikan ke penjual,Negatif
"pengiriman parah, hampir 10 hari belum nyampe barangnya, alasanya overload, tapi di sebelah walaupun overload ga nyampe berhari-hari, jadi bikin malaz",2,pengiriman parah hampir hari belum nyampe barangnya alasanya overload tapi di sebelah walaupun overload ga nyampe berharihari jadi bikin malaz,Negatif
"Membantu untuk melengkapi alat alat dan pakean melayani cod seluruh indonesia ,👍👍👍",5,membantu untuk melengkapi alat alat dan pakean melayani cod seluruh indonesia,Positif
Sangat suka dengan Shopee karena barangnya selalu bagus dan dalam kondisi baik baik saja,5,sangat suka dengan shopee karena barangnya selalu bagus dan dalam kondisi baik baik saja,Positif
👍🏻,5,,Positif
Pokonya kalo belanja di shoppe ngk pernah rugi deh,5,pokonya kalo belanja di shoppe ngk pernah rugi deh,Positif
Sukses terus buat shoppy mantap,5,sukses terus buat shoppy mantap,Positif
swjak ada shopee jadi jrg blnja dluar,5,swjak ada shopee jadi jrg blnja dluar,Positif
𝕊𝕒𝕟𝕘𝕒𝕥 𝕤𝕦𝕜𝕒 𝕥𝕚𝕕𝕒𝕜 𝕞𝕖𝕟𝕘𝕖𝕔𝕖𝕨𝕒𝕜𝕒𝕟.🤗,5,,Positif
memuaskan,5,memuaskan,Positif
Alhamdulillah bagus,5,alhamdulillah bagus,Positif
"Aplikasi nya bagus, toko² di shopee nya amanah juga, semoga sellu amanah ya toko di shopee, aku udh cinta banget sama shopee. Semoga tidak pernah mengecewakan... Terimakasih shopee❤️❤️",5,aplikasi nya bagus toko² di shopee nya amanah juga semoga sellu amanah ya toko di shopee aku udh cinta banget sama shopee semoga tidak pernah mengecewakan terimakasih shopee,Positif
Memuaskan,5,memuaskan,Positif
Semakin selektif,4,semakin selektif,Positif
manfaat,5,manfaat,Positif
Lebih mudah belanja ya di shopee aja gues..... 😘😘😘😘,5,lebih mudah belanja ya di shopee aja gues,Positif
senang berbelanja di Shopee dan sangat membantu sekali serta mengerti kebutuhan konsumen 👍👍👍👍👍,5,senang berbelanja di shopee dan sangat membantu sekali serta mengerti kebutuhan konsumen,Positif
"aplikasi ga jelas,kebanyakan lag padahal jaringan bagus",1,aplikasi ga jelaskebanyakan lag padahal jaringan bagus,Negatif
ook muantaaaaaap sesuai apa yg diharapkan,5,ook muantaaaaaap sesuai apa yg diharapkan,Positif
bagus,5,bagus,Positif
puas banget,5,puas banget,Positif
Pelayanan serta pengirimannya bagus,5,pelayanan serta pengirimannya bagus,Positif
"Terpercaya, smga tetap jaya",5,terpercaya smga tetap jaya,Positif
Puas dan sesuai pesanan,5,puas dan sesuai pesanan,Positif
Lebah hemat waktu mau belanja pun,5,lebah hemat waktu mau belanja pun,Positif
"selalu dapat harga murah dan kualitas bagus, klu offline hrga nya mahal,dishopee jauh lebih murah",5,selalu dapat harga murah dan kualitas bagus klu offline hrga nya mahaldishopee jauh lebih murah,Positif
good belanja murah semua di shoope,5,good belanja murah semua di shoope,Positif
"Banyak voucher,ongkir juga murah,layanan dan konfirmasi cepat.👍👍👍👍👍",5,banyak voucherongkir juga murahlayanan dan konfirmasi cepat,Positif
"udah 2 kali ini mesen barang ga sampe"" 🤓 bug nya juga ga hilang-hilang dari dulu, ngescroll lamaan dikit udah ngefreeze dan susah banget buat di klik :(. awalnya ngira gini di hpku aja, ternyata di hp lain juga",2,udah kali ini mesen barang ga sampe bug nya juga ga hilanghilang dari dulu ngescroll lamaan dikit udah ngefreeze dan susah banget buat di klik awalnya ngira gini di hpku aja ternyata di hp lain juga,Negatif
mudah cepat harga terjangkau dan berkualitas,5,mudah cepat harga terjangkau dan berkualitas,Positif
Sangat bagus,5,sangat bagus,Positif
Oke,5,oke,Positif
Selalu tepat waktu dan harga terjangkau,5,selalu tepat waktu dan harga terjangkau,Positif
jos jis,5,jos jis,Positif
"Masih tetep yg terbaik, pertahankan terooosss",5,masih tetep yg terbaik pertahankan terooosss,Positif
good,5,good,Positif
"Pinjaman sama payalatter lunas tapi malah di bekukan berbulan bulan, aneehhh",1,pinjaman sama payalatter lunas tapi malah di bekukan berbulan bulan aneehhh,Negatif
"Banyak pilihan, mudah cari barang / makanan, sering dapat gratis Ongkir, kl gak cocok dengan barang yg dibeli mudah mengembalikannya dan gratis ongkir juga. Terimakasih Shopee",5,banyak pilihan mudah cari barang makanan sering dapat gratis ongkir kl gak cocok dengan barang yg dibeli mudah mengembalikannya dan gratis ongkir juga terimakasih shopee,Positif
sangat membantu dalam berbelanja kebutuhan,5,sangat membantu dalam berbelanja kebutuhan,Positif
"saat bagus,,buruan donload shopee",5,saat bagusburuan donload shopee,Positif
Top,5,top,Positif
kerennn pokoknya dijaga kepercayaan pelanggan,5,kerennn pokoknya dijaga kepercayaan pelanggan,Positif
"shopee joss mantap,, tolong aktifkan kembali spaylater saya lagi karena berguna buat buat belanja saya🙏🙏",5,shopee joss mantap tolong aktifkan kembali spaylater saya lagi karena berguna buat buat belanja saya,Positif
banyak penjual amatir mangatas namakan produk bermerek. yg di jual produk emperan,1,banyak penjual amatir mangatas namakan produk bermerek yg di jual produk emperan,Negatif
Kenapa sekarang apk untuk sistem pengiriman lama banget berikan waktu estimasi paling lama kapan sampainya malah lebih lama dari waktu estimasi tidak seperti dulu sebelum jadwal estimasi paket sudah sampai,2,kenapa sekarang apk untuk sistem pengiriman lama banget berikan waktu estimasi paling lama kapan sampainya malah lebih lama dari waktu estimasi tidak seperti dulu sebelum jadwal estimasi paket sudah sampai,Negatif
baik,5,baik,Positif
Banyakan eror nya sekarang ...yg jualan gak jujur aja di acc berjualan ach gak jelas sekarang mah banyak ana anu inu nya ..apalagi sesudah pesan lama eh tw nya di batalkan sendiri stres ..,1,banyakan eror nya sekarang yg jualan gak jujur aja di acc berjualan ach gak jelas sekarang mah banyak ana anu inu nya apalagi sesudah pesan lama eh tw nya di batalkan sendiri stres,Negatif
Bagus,5,bagus,Positif
aplikasi sangat buruk kurir sangat lama padahal sudah pas hari estimasi nya masih aja belum dateng mending toko sebelah cepet sekarang shopee makin lelet,1,aplikasi sangat buruk kurir sangat lama padahal sudah pas hari estimasi nya masih aja belum dateng mending toko sebelah cepet sekarang shopee makin lelet,Negatif
"shope makin ga ngotak, masa garansi aja direbitin, sumpah ga lagi dah. #PINDAHTOKOPEDIA",1,shope makin ga ngotak masa garansi aja direbitin sumpah ga lagi dah pindahtokopedia,Negatif
bes bgt pokok nya,5,bes bgt pokok nya,Positif
"aku tarik shopee koin 50000 tidak masuk ,sedang ditinjau liat riwayatnya. keren keluhannya langsung di tinjau dan langsung berhasil dan aku ganti bintang 5.",5,aku tarik shopee koin tidak masuk sedang ditinjau liat riwayatnya keren keluhannya langsung di tinjau dan langsung berhasil dan aku ganti bintang,Positif
Kalau bisa di percepat pengiriman,5,kalau bisa di percepat pengiriman,Positif
pesanan selalu tiba tepat waktu,5,pesanan selalu tiba tepat waktu,Positif
"Shoope kenapa jadi susah sih pengirimannya juga lama bangat ,Klau PO jangän lama² ,di aplikasi 8 hari ,tapi udah 13 hari nggak di kirim² ,kok gini sih",4,shoope kenapa jadi susah sih pengirimannya juga lama bangat klau po jangän lama² di aplikasi hari tapi udah hari nggak di kirim² kok gini sih,Positif
Sangat puas,5,sangat puas,Positif
Sangat membantu dalam proses belanja belanja online,5,sangat membantu dalam proses belanja belanja online,Positif
apl yg sgt mudah digunakan..,4,apl yg sgt mudah digunakan,Positif
gak jelas ngirim barang di lempar lempar apa ya paket gua Dateng hancur Mulu heran gua Ama yg kerja,1,gak jelas ngirim barang di lempar lempar apa ya paket gua dateng hancur mulu heran gua ama yg kerja,Negatif
Di shopee pada murah2..semoga selernya pada amanah semua ya..terimaksh,5,di shopee pada murahsemoga selernya pada amanah semua yaterimaksh,Positif
berbelanja dengan mudah,5,berbelanja dengan mudah,Positif
Assalamualaikum semua nya salam kenal ya kk dr mostofa Jakarta Selatan saya kalo belanja di shopee tepat waktu itu yang saya bikin mau belanja terus di shopee trimakasih untuk shopee ya,5,assalamualaikum semua nya salam kenal ya kk dr mostofa jakarta selatan saya kalo belanja di shopee tepat waktu itu yang saya bikin mau belanja terus di shopee trimakasih untuk shopee ya,Positif
good jobs Shopee👍,5,good jobs shopee,Positif
bagus,4,bagus,Positif
Ngelek tidak dapat di buka,2,ngelek tidak dapat di buka,Negatif
"Aplikasi bagus ,kalau pesan barang sesuai terus .walaupun ada beberapa barang tidak bisa cod tapi beli di aplikasi shopee happy banggat",5,aplikasi bagus kalau pesan barang sesuai terus walaupun ada beberapa barang tidak bisa cod tapi beli di aplikasi shopee happy banggat,Positif
bagus,5,bagus,Positif
Pengirimannya lama banget,1,pengirimannya lama banget,Negatif
Bagus,5,bagus,Positif
bintang yang berbicara,5,bintang yang berbicara,Positif
Alhamdulillah aplikasi Bagus,5,alhamdulillah aplikasi bagus,Positif
Sangat bagus,5,sangat bagus,Positif
sangat memudahkan dalam berbelanja,5,sangat memudahkan dalam berbelanja,Positif
Enak,5,enak,Positif
mantap,5,mantap,Positif
"Lumayan cepat, puas belanja disini",5,lumayan cepat puas belanja disini,Positif
Sangat baik,5,sangat baik,Positif
senang bersama shopee 👍,5,senang bersama shopee,Positif
good apps good stuffs and good system with their responsibilities,5,good apps good stuffs and good system with their responsibilities,Positif
bagus lah banyak pilihan pas belanja tapi tolong itu SPX nya lemot banget ya notif paket di anter dari pagi tapi Nyampenya malem padahal tempat kerja saya deket banget sama gudang SPX gimana si tolong dong Shopee perbaiki SPX nya,3,bagus lah banyak pilihan pas belanja tapi tolong itu spx nya lemot banget ya notif paket di anter dari pagi tapi nyampenya malem padahal tempat kerja saya deket banget sama gudang spx gimana si tolong dong shopee perbaiki spx nya,Netral
keren lah,5,keren lah,Positif
Pake shopee sangat membantuku berbelanja online. Dan jg membantu keuangan jg 👍,5,pake shopee sangat membantuku berbelanja online dan jg membantu keuangan jg,Positif
bagus,5,bagus,Positif
bagus,5,bagus,Positif
sangat puas mantab.,5,sangat puas mantab,Positif
mantap,5,mantap,Positif
"ga ada option blokir seller penipu, ngeselin, Shopee dukung penipuan",2,ga ada option blokir seller penipu ngeselin shopee dukung penipuan,Negatif
"Katanya gratis ongkir, buktinya ongkir mahal",1,katanya gratis ongkir buktinya ongkir mahal,Negatif
"aplikasi yang bagus untuk berbelanja secara online, semuanya lengkap ada disini, sayangnya aplikasinya terlalu berat sehingga selalu lemot, padahal penyimpanan dan internet saya baik",3,aplikasi yang bagus untuk berbelanja secara online semuanya lengkap ada disini sayangnya aplikasinya terlalu berat sehingga selalu lemot padahal penyimpanan dan internet saya baik,Netral
"pada saat ingin masuk,tidak ingin masuk dan sudah berkali kali di coba keluar masuk tetap sama aplikasi tidak mau masuk hanya ngestak pada laman pertama",3,pada saat ingin masuktidak ingin masuk dan sudah berkali kali di coba keluar masuk tetap sama aplikasi tidak mau masuk hanya ngestak pada laman pertama,Netral
shopeee terbaik jos jos jos,5,shopeee terbaik jos jos jos,Positif
apknya good,5,apknya good,Positif
aplikasi yg bagus dan memudahkan semua orang untuk berbelanja srcara online,5,aplikasi yg bagus dan memudahkan semua orang untuk berbelanja srcara online,Positif
mantap,3,mantap,Netral
weh kok bisa ngirim barang-barang ga jelas padahal engga pesan ini wajib di perbaiki,1,weh kok bisa ngirim barangbarang ga jelas padahal engga pesan ini wajib di perbaiki,Negatif
Emang gak ada dua nya shoppy ini 👍👍👍👍👍👍👍👍👍👍 ooooooooo,5,emang gak ada dua nya shoppy ini ooooooooo,Positif
Shopee Bagus banget barang barang nya pun keren,5,shopee bagus banget barang barang nya pun keren,Positif
"Barangnya mahal mahal,",5,barangnya mahal mahal,Positif
"sangat bermanfaat sekali bagi para pengguna shopee ,dan lancar amiiiin",5,sangat bermanfaat sekali bagi para pengguna shopee dan lancar amiiiin,Positif
Perbanyak bebas ongkir....juragan,5,perbanyak bebas ongkirjuragan,Positif
"lumayan,, tpi Shopee capit nyh bikin emosi",4,lumayan tpi shopee capit nyh bikin emosi,Positif
download shopee sekarang juga karena barang nya bagus semua,5,download shopee sekarang juga karena barang nya bagus semua,Positif
Selalu percaya dg shopee recomended,5,selalu percaya dg shopee recomended,Positif
Bagus,5,bagus,Positif
"toko online rangkap expedisi... jadi bego,pengiriman menumpuk ga ada kepastian paket kapan datang...",1,toko online rangkap expedisi jadi begopengiriman menumpuk ga ada kepastian paket kapan datang,Negatif
Sangat bagus,5,sangat bagus,Positif
belanja mudah & simple ya di shopee,5,belanja mudah simple ya di shopee,Positif
